Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
GW25,2/07/2020,9.6,5.4,10.2,44,86,98,21,250,6.64,73.0,17.0,160.0,0.42,110.0,3.0,0.24,4.199999999999999,8.0
GW26,2/07/2020,0.99,0.05,1.02,3,1,1,1,4,6.68,36.0,4.4,65.0,0.18,34.0,4.0,0.17,0.94,4.25
GW26,2/07/2020,1.85,0.27,1.89,3,1,1,1,4,6.68,36.0,4.4,65.0,0.18,34.0,4.0,0.17,1.58,4.25
GW26,2/07/2020,4.2,0.57,4.3,31,18,5,1,54,6.68,36.0,4.4,65.0,0.18,34.0,4.0,0.17,3.6300000000000003,4.25
GW26,2/07/2020,5.7,1.87,6.0,72,47,11,1,130,6.68,36.0,4.4,65.0,0.18,34.0,4.0,0.17,3.83,4.25
GW26,2/07/2020,9.6,5.3,10.2,150,73,15,1,240,6.68,36.0,4.4,65.0,0.18,34.0,4.0,0.17,4.3,4.25
GW31,22/11/2019,1.01,1.27,1.12,15,35,63,35,150,7.92,85.0,0.3,115.0,0.04,1.0,1.5,0.03,-0.26,2.0
GW31,22/11/2019,1.9,2.01,1.88,19,41,72,40,170,7.92,85.0,0.3,115.0,0.04,1.0,1.5,0.03,-0.10999999999999988,2.0
GW31,22/11/2019,3.8,4.6,4.0,26,42,65,35,170,7.92,85.0,0.3,115.0,0.04,1.0,1.5,0.03,-0.7999999999999998,2.0
GW31,22/11/2019,5.3,6.3,5.9,30,43,66,36,180,7.92,85.0,0.3,115.0,0.04,1.0,1.5,0.03,-1.0,2.0
GW31,22/11/2019,9.4,10.2,9.8,40,45,67,37,190,7.92,85.0,0.3,115.0,0.04,1.0,1.5,0.03,-0.7999999999999989,2.0
GW32,7/07/2021,1.03,0.02,1.03,1,1,5,15,20,7.02,82.0,1.2,120.0,0.34,4.0,1.3,0.047,1.01,3.6153846153846154
GW32,7/07/2021,1.82,1.02,1.82,3,10,37,53,120,7.02,82.0,1.2,120.0,0.34,4.0,1.3,0.047,0.8,3.6153846153846154
GW32,7/07/2021,3.8,2.7,3.8,7,29,65,38,140,7.02,82.0,1.2,120.0,0.34,4.0,1.3,0.047,1.0999999999999996,3.6153846153846154
GW32,7/07/2021,5.8,4.4,5.8,14,43,68,29,150,7.02,82.0,1.2,120.0,0.34,4.0,1.3,0.047,1.3999999999999995,3.6153846153846154
GW32,7/07/2021,9.4,8.0,9.4,20,52,67,22,160,7.02,82.0,1.2,120.0,0.34,4.0,1.3,0.047,1.4000000000000004,3.6153846153846154
GW33,7/07/2021,1.03,0.83,1.03,1,2,7,33,42,6.92,92.0,0.4,150.0,0.44,1.0,0.5,0.014,0.20000000000000007,2.8000000000000003
GW33,7/07/2021,1.82,1.55,1.82,1,3,8,20,31,6.92,92.0,0.4,150.0,0.44,1.0,0.5,0.014,0.27,2.8000000000000003
GW33,7/07/2021,3.8,4.8,3.8,1,7,13,20,40,6.92,92.0,0.4,150.0,0.44,1.0,0.5,0.014,-1.0,2.8000000000000003
GW33,7/07/2021,5.8,5.9,5.8,1,9,13,17,40,6.92,92.0,0.4,150.0,0.44,1.0,0.5,0.014,-0.10000000000000053,2.8000000000000003
GW33,7/07/2021,9.4,9.0,9.4,3,11,13,12,39,6.92,92.0,0.4,150.0,0.44,1.0,0.5,0.014,0.40000000000000036,2.8000000000000003
GW34,16/06/2021,0.98,0.12,0.98,2,2,2,2,8,7.02,70.0,0.3,95.0,0.24,9.0,2.0,0.085,0.86,4.25
GW34,16/06/2021,1.93,0.68,1.93,6,8,15,9,38,7.02,70.0,0.3,95.0,0.24,9.0,2.0,0.085,1.25,4.25
