Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
SW17,5/11/2019,0.87,0.57,0.91,1,2,11,55,68,7.99,66.0,0.3,155.0,0.36,1.0,1.6,0.018,0.30000000000000004,1.1249999999999998
SW17,5/11/2019,1.7,1.32,1.7,1,8,34,97,140,7.99,66.0,0.3,155.0,0.36,1.0,1.6,0.018,0.3799999999999999,1.1249999999999998
SW17,5/11/2019,3.6,3.4,4.0,6,22,60,58,150,7.99,66.0,0.3,155.0,0.36,1.0,1.6,0.018,0.20000000000000018,1.1249999999999998
SW17,5/11/2019,5.9,4.9,6.0,9,31,64,44,150,7.99,66.0,0.3,155.0,0.36,1.0,1.6,0.018,1.0,1.1249999999999998
SW17,5/11/2019,9.2,8.0,10.0,16,40,60,33,150,7.99,66.0,0.3,155.0,0.36,1.0,1.6,0.018,1.1999999999999993,1.1249999999999998
SW18,5/11/2020,0.98,0.72,0.98,1,3,13,44,60,8.14,66.0,0.41,160.0,0.34,1.0,1.4,0.015,0.26,1.0714285714285714
SW18,5/11/2020,1.8,1.58,1.8,1,8,28,45,82,8.14,66.0,0.41,160.0,0.34,1.0,1.4,0.015,0.21999999999999997,1.0714285714285714
SW18,5/11/2020,3.9,3.6,3.9,3,16,37,34,90,8.14,66.0,0.41,160.0,0.34,1.0,1.4,0.015,0.2999999999999998,1.0714285714285714
SW18,5/11/2020,5.8,5.8,5.8,5,21,39,29,94,8.14,66.0,0.41,160.0,0.34,1.0,1.4,0.015,0.0,1.0714285714285714
SW18,5/11/2020,9.8,9.4,9.8,10,24,40,24,98,8.14,66.0,0.41,160.0,0.34,1.0,1.4,0.015,0.40000000000000036,1.0714285714285714
SW19,5/05/2021,1.01,0.52,1.01,1,4,7,21,32,6.85,26.0,0.6,60.0,0.22,1.0,1.3,0.016,0.49,1.2307692307692308
SW19,5/05/2021,1.89,1.31,1.89,3,7,30,23,63,6.85,26.0,0.6,60.0,0.22,1.0,1.3,0.016,0.5799999999999998,1.2307692307692308
SW19,5/05/2021,4.1,3.6,4.1,7,15,33,13,68,6.85,26.0,0.6,60.0,0.22,1.0,1.3,0.016,0.49999999999999956,1.2307692307692308
SW19,5/05/2021,6.4,5.4,6.4,11,21,32,10,74,6.85,26.0,0.6,60.0,0.22,1.0,1.3,0.016,1.0,1.2307692307692308
