Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
SW12,2/06/2021,5.5,4.8,5.6,17,45,57,22,140,7.18,28,0.7,65,0.24,2,3.8,0.029
SW12,2/06/2021,9,8.4,9.2,29,58,61,20,170,7.18,28,0.7,65,0.24,2,3.8,0.029
SW13,26/02/2020,0.92,0.6,0.92,1,7,23,33,63,6.64,24,0.3,55,0.2,1,1.6,0.019
SW13,26/02/2020,1.69,1.35,1.69,8,25,48,30,110,6.64,24,0.3,55,0.2,1,1.6,0.019
SW13,26/02/2020,3.7,3.3,3.7,14,34,48,21,120,6.64,24,0.3,55,0.2,1,1.6,0.019
SW13,26/02/2020,5.6,5.1,5.6,21,38,45,16,120,6.64,24,0.3,55,0.2,1,1.6,0.019
SW13,26/02/2020,9.4,8.8,9.4,34,49,49,17,150,6.64,24,0.3,55,0.2,1,1.6,0.019
SW14,17/12/2019,0.93,0.69,0.93,1,1,7,32,40,7.76,72,0.2,170,0.34,1,1.2,0.01
SW14,17/12/2019,1.77,1.42,1.77,1,7,26,53,86,7.76,72,0.2,170,0.34,1,1.2,0.01
SW14,17/12/2019,3.7,3.9,3.7,8,16,35,31,90,7.76,72,0.2,170,0.34,1,1.2,0.01
SW14,17/12/2019,5.6,5.7,5.6,11,21,35,23,90,7.76,72,0.2,170,0.34,1,1.2,0.01
SW14,17/12/2019,9.8,9.8,9.8,18,30,38,22,110,7.76,72,0.2,170,0.34,1,1.2,0.01
SW15,3/12/2020,0.91,0.7,0.96,1,3,6,77,86,8.16,77,0.4,175,0.36,1,1.6,0.015
SW15,3/12/2020,1.87,1.43,1.89,1,5,29,110,140,8.16,77,0.4,175,0.36,1,1.6,0.015
SW15,3/12/2020,4,3.3,4.1,1,12,58,79,150,8.16,77,0.4,175,0.36,1,1.6,0.015
SW15,3/12/2020,5.6,4.9,5.8,1,17,56,49,120,8.16,77,0.4,175,0.36,1,1.6,0.015
SW15,3/12/2020,9,8.8,10,8,34,73,43,160,8.16,77,0.4,175,0.36,1,1.6,0.015
GW17,4/07/2019,1.11,0.03,1.14,4,7,9,4,24,6.54,58,8.7,135,0.34,55,3.4,0.21
GW17,4/07/2019,1.89,0.55,2.02,4,7,8,6,25,6.54,58,8.7,135,0.34,55,3.4,0.21
GW17,4/07/2019,5,1.38,4.8,15,34,47,17,110,6.54,58,8.7,135,0.34,55,3.4,0.21
GW17,4/07/2019,6.1,3.6,7.2,50,80,73,14,220,6.54,58,8.7,135,0.34,55,3.4,0.21
GW17,4/07/2019,12,6.7,11.8,73,93,68,15,250,6.54,58,8.7,135,0.34,55,3.4,0.21
GW18,4/07/2019,1.11,0.11,1.14,3,1,1,1,4,6.6,56,2.4,115,0.34,31,3.8,0.23
GW18,4/07/2019,1.89,0.86,2.02,6,6,4,1,16,6.6,56,2.4,115,0.34,31,3.8,0.23
GW18,4/07/2019,5,1.24,4.8,21,32,33,8,94,6.6,56,2.4,115,0.34,31,3.8,0.23
GW18,4/07/2019,6.1,0.55,7.2,48,66,53,8,180,6.6,56,2.4,115,0.34,31,3.8,0.23
GW18,4/07/2019,12,7.1,11.8,130,120,70,6,330,6.6,56,2.4,115,0.34,31,3.8,0.23
GW19,4/07/2019,1.11,0.24,1.14,4,1,1,1,4,6.89,35,0.8,50,0.18,31,4.4,0.21
GW19,4/07/2019,1.89,0.83,2.02,13,4,1,1,17,6.89,35,0.8,50,0.18,31,4.4,0.21
GW19,4/07/2019,5,1.05,4.8,44,25,10,1,79,6.89,35,0.8,50,0.18,31,4.4,0.21
GW19,4/07/2019,6.1,2.9,7.2,120,58,19,1,200,6.89,35,0.8,50,0.18,31,4.4,0.21
GW19,4/07/2019,12,7.2,11.8,220,90,23,1,330,6.89,35,0.8,50,0.18,31,4.4,0.21
GW20,1/07/2021,1.05,0,1.08,1,1,1,1,4,6.87,196,27,470,1.5,3,1.7,0.039
GW20,1/07/2021,1.88,0.25,1.81,1,1,1,4,6,6.87,196,27,470,1.5,3,1.7,0.039
GW20,1/07/2021,3.8,1.5,3.9,4,3,3,25,35,6.87,196,27,470,1.5,3,1.7,0.039
GW20,1/07/2021,4.9,0.7,5.8,2,5,8,77,92,6.87,196,27,470,1.5,3,1.7,0.039
GW20,1/07/2021,8.8,4.4,9.2,3,12,48,110,170,6.87,196,27,470,1.5,3,1.7,0.039
GW21,1/07/2021,1.05,0.14,1.08,1,1,1,1,4,6.69,72,37,160,0.48,9,1.6,0.04
GW21,1/07/2021,1.88,0.24,1.81,1,3,4,8,16,6.69,72,37,160,0.48,9,1.6,0.04
GW21,1/07/2021,3.8,0.69,3.9,3,9,31,51,94,6.69,72,37,160,0.48,9,1.6,0.04
GW21,1/07/2021,4.9,2.7,5.8,7,26,59,42,130,6.69,72,37,160,0.48,9,1.6,0.04
GW21,1/07/2021,8.8,6.2,9.2,14,42,60,25,140,6.69,72,37,160,0.48,9,1.6,0.04
GW22,1/07/2021,1.05,0.18,1.08,2,2,1,1,4,6.89,38,12,55,0.16,7,2.2,0.053
GW22,1/07/2021,1.88,0.22,1.81,3,4,2,1,9,6.89,38,12,55,0.16,7,2.2,0.053
GW22,1/07/2021,3.8,1.18,3.9,21,33,33,6,93,6.89,38,12,55,0.16,7,2.2,0.053
GW22,1/07/2021,4.9,2.7,5.8,32,44,36,4,120,6.89,38,12,55,0.16,7,2.2,0.053
GW22,1/07/2021,8.8,6.8,9.2,46,49,38,3,140,6.89,38,12,55,0.16,7,2.2,0.053
SW16,13/05/2020,0.88,0.84,0.95,1,2,10,42,54,7.84,72,1,170,0.32,1,1.5,0.016
SW16,13/05/2020,1.75,1.78,1.9,3,6,24,41,74,7.84,72,1,170,0.32,1,1.5,0.016
SW16,13/05/2020,3.4,3.6,3.8,5,13,30,26,74,7.84,72,1,170,0.32,1,1.5,0.016
SW16,13/05/2020,5.3,5.2,5.5,9,21,39,27,96,7.84,72,1,170,0.32,1,1.5,0.016
SW16,13/05/2020,9.4,9.4,9.6,14,28,39,19,100,7.84,72,1,170,0.32,1,1.5,0.016
SW17,5/11/2019,0.87,0.57,0.91,1,2,11,55,68,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,1.7,1.32,1.7,1,8,34,97,140,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,3.6,3.4,4,6,22,60,58,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,5.9,4.9,6,9,31,64,44,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,9.2,8,10,16,40,60,33,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW18,5/11/2020,0.98,0.72,0.98,1,3,13,44,60,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,1.8,1.58,1.8,1,8,28,45,82,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,3.9,3.6,3.9,3,16,37,34,90,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,5.8,5.8,5.8,5,21,39,29,94,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,9.8,9.4,9.8,10,24,40,24,98,8.14,66,0.41,160,0.34,1,1.4,0.015
GW23,30/10/2019,0.96,0.79,0.94,1,1,1,1,4,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,2,1.61,2,1,1,3,7,11,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,4.2,0.7,4.1,1,3,8,55,66,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,6.3,2.6,6.1,1,5,19,160,180,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,10.2,6.5,10,1,10,45,120,180,7.83,235,1.1,625,1.8,3,1.5,0.04
SW19,5/05/2021,1.01,0.52,1.01,1,4,7,21,32,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,1.89,1.31,1.89,3,7,30,23,63,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,4.1,3.6,4.1,7,15,33,13,68,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,6.4,5.4,6.4,11,21,32,10,74,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,10.6,9.2,10.6,18,32,35,10,95,6.85,26,0.6,60,0.22,1,1.3,0.016
GW24,2/07/2020,0.99,0.38,1.02,1,1,1,1,4,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,1.85,0.15,1.89,2,1,2,3,7,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,4.2,2.3,4.3,3,2,5,24,34,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,5.7,0.37,6,6,4,23,89,120,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,9.6,3.8,10.2,4,11,79,230,320,6.91,198,18,465,1.2,120,2.4,0.067
GW25,2/07/2020,0.99,0.17,1.02,3,1,1,1,4,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,1.85,0.88,1.89,4,2,2,2,10,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,4.2,0.56,4.3,9,12,33,26,80,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,5.7,1.66,6,26,67,92,33,220,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,9.6,5.4,10.2,44,86,98,21,250,6.64,73,17,160,0.42,110,3,0.24
GW26,2/07/2020,0.99,0.05,1.02,3,1,1,1,4,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,1.85,0.27,1.89,3,1,1,1,4,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,4.2,0.57,4.3,31,18,5,1,54,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,5.7,1.87,6,72,47,11,1,130,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,9.6,5.3,10.2,150,73,15,1,240,6.68,36,4.4,65,0.18,34,4,0.17
GW27,6/05/2019,1.05,0.13,1.08,1,1,1,4,6,,,,,,,,
GW27,6/05/2019,2,0.25,2,1,1,2,9,12,,,,,,,,
GW27,6/05/2019,4.2,1.75,4.3,1,7,23,31,61,,,,,,,,
GW27,6/05/2019,5.9,4,6.9,3,12,27,23,65,,,,,,,,
GW27,6/05/2019,10.6,7.4,10.4,6,16,26,15,63,,,,,,,,
