Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
GW57,1/04/2021,4.2,3.6,4.3,1,3,14,18,35,7.59,106,0.2,180,,1,0.5,
GW57,1/04/2021,6.1,6.2,6.4,1,6,15,13,34,7.59,106,0.2,180,,1,0.5,
GW57,1/04/2021,10,8.6,10.2,1,9,17,10,36,7.59,106,0.2,180,,1,0.5,
GW58,1/04/2021,0.79,0.9,0.98,1,1,1,8,8,,,,,,,,
GW58,1/04/2021,1.79,1.42,1.88,1,1,2,6,8,,,,,,,,
GW58,1/04/2021,4.2,3.6,4.3,1,1,3,1,4,,,,,,,,
GW58,1/04/2021,6.1,5.6,6.4,1,1,4,1,4,,,,,,,,
GW58,1/04/2021,10,9.8,10.2,1,1,4,1,4,,,,,,,,
GW59,1/04/2021,1.13,1.31,1.13,1,2,13,51,66,,,,,,,,
GW59,1/04/2021,1.93,2.09,1.99,1,3,14,49,66,,,,,,,,
GW59,1/04/2021,4.1,4.7,4.1,1,5,15,50,70,,,,,,,,
GW59,1/04/2021,6,7.1,6,1,6,16,47,69,,,,,,,,
GW59,1/04/2021,9.6,9.8,9.6,1,8,17,50,75,,,,,,,,
GW60,9/05/2019,1.05,0.7,1.08,1,1,1,29,30,,,,,,,,
GW60,9/05/2019,2,1.45,2,1,1,2,34,36,,,,,,,,
GW60,9/05/2019,4.2,3.1,4.3,1,1,8,27,36,,,,,,,,
GW60,9/05/2019,5.9,5.2,6.9,1,2,10,19,31,,,,,,,,
GW60,9/05/2019,10.6,10.2,10.4,1,4,15,18,37,,,,,,,,
GW61,17/02/2021,0.98,0.76,0.98,1,1,5,17,22,7.38,77,1.5,140,0.62,1,0.5,0.002
GW61,17/02/2021,1.02,1.53,1.02,1,2,8,9,19,7.38,77,1.5,140,0.62,1,0.5,0.002
GW61,17/02/2021,3.9,4.1,3.9,1,4,8,5,17,7.38,77,1.5,140,0.62,1,0.5,0.002
GW61,17/02/2021,5.8,5.5,5.8,1,5,8,4,17,7.38,77,1.5,140,0.62,1,0.5,0.002
GW61,17/02/2021,9.8,9.4,9.8,1,7,9,3,19,7.38,77,1.5,140,0.62,1,0.5,0.002
GW62,5/06/2019,1.1,1.01,1.13,1,1,1,5,6,,,,,,,,
GW62,5/06/2019,2.08,1.92,2.12,1,1,1,3,4,,,,,,,,
GW62,5/06/2019,4.3,4.3,4.5,1,3,5,2,11,,,,,,,,
GW62,5/06/2019,6.4,6.4,6.7,2,1,2,1,6,,,,,,,,
GW62,5/06/2019,9.8,10.4,10.6,3,4,3,1,11,,,,,,,,
GW63,17/07/2019,1.28,0.63,1.28,1,1,1,24,25,6.19,231,14,625,1.6,1,0.5,0.005
GW63,17/07/2019,2.16,1.15,2.16,2,1,1,16,19,6.19,231,14,625,1.6,1,0.5,0.005
GW63,17/07/2019,5.1,3.9,5.1,3,1,5,15,24,6.19,231,14,625,1.6,1,0.5,0.005
GW63,17/07/2019,6.9,7.1,6.9,3,2,8,13,26,6.19,231,14,625,1.6,1,0.5,0.005
GW63,17/07/2019,11,11.2,11,5,5,12,11,33,6.19,231,14,625,1.6,1,0.5,0.005
GW64,17/07/2019,1.28,0.84,1.28,1,1,1,26,26,5.89,242,0.1,680,1.4,1,0.5,0.001
GW64,17/07/2019,2.16,1.75,2.16,1,1,3,34,37,5.89,242,0.1,680,1.4,1,0.5,0.001
GW64,17/07/2019,5.1,4.6,5.1,2,1,11,33,47,5.89,242,0.1,680,1.4,1,0.5,0.001
GW64,17/07/2019,6.9,7,6.9,2,3,17,29,51,5.89,242,0.1,680,1.4,1,0.5,0.001
GW64,17/07/2019,11,10.8,11,5,7,28,30,70,5.89,242,0.1,680,1.4,1,0.5,0.001
GW65,4/10/2019,0.93,0.28,0.93,1,1,1,31,32,6.17,147,0.4,380,1.4,1,0.8,0.007
GW65,4/10/2019,1.87,1.03,1.87,1,1,2,48,50,6.17,147,0.4,380,1.4,1,0.8,0.007
GW65,4/10/2019,4.1,3.3,4.1,1,4,19,40,63,6.17,147,0.4,380,1.4,1,0.8,0.007
GW65,4/10/2019,5.9,4.8,5.9,1,5,20,30,55,6.17,147,0.4,380,1.4,1,0.8,0.007
GW65,4/10/2019,9.6,7.1,9.6,7,10,23,24,64,6.17,147,0.4,380,1.4,1,0.8,0.007
SW51,22/08/2018,0.81,1.09,0.81,17,49,81,41,190,8.03,50,0.3,90,0.02,1,1.5,0.013
SW51,22/08/2018,1.62,1.66,1.62,18,51,82,42,190,8.03,50,0.3,90,0.02,1,1.5,0.013
GW66,2/12/2015,0.96,0.01,0.97,1,1,1,1,4,,,,,,,,
GW66,2/12/2015,1.9,0.17,2,1,1,1,2,2,,,,,,,,
GW66,2/12/2015,3.9,1.64,6.7,1,1,1,2,3,,,,,,,,
GW66,2/12/2015,6,3.7,10.6,1,1,2,1,3,,,,,,,,
GW66,2/12/2015,9.8,7.6,1.3,1,1,1,1,1,,,,,,,,
SW52,7/04/2016,0.86,0.17,0.86,2,4,8,10,24,7.4,36,1.1,90,0.3,3,4,0.043
SW52,7/04/2016,1.67,0.75,1.67,5,9,25,41,80,7.4,36,1.1,90,0.3,3,4,0.043
SW52,7/04/2016,3.6,2.4,3.6,13,29,63,53,160,7.4,36,1.1,90,0.3,3,4,0.043
SW52,7/04/2016,5.6,4.1,5.6,30,61,86,48,230,7.4,36,1.1,90,0.3,3,4,0.043
SW52,7/04/2016,9.2,8,9.2,57,86,94,39,280,7.4,36,1.1,90,0.3,3,4,0.043
SW53,16/12/2015,0.92,0.28,0.93,1,4,9,14,31,7.55,33,0.4,80,0.3,3,4.4,0.032
SW53,16/12/2015,2.1,1.04,1.9,1,11,30,36,77,7.55,33,0.4,80,0.3,3,4.4,0.032
SW53,16/12/2015,4,3,3.9,13,34,58,36,140,7.55,33,0.4,80,0.3,3,4.4,0.032
SW53,16/12/2015,5.9,4.8,5.9,27,49,60,29,160,7.55,33,0.4,80,0.3,3,4.4,0.032
SW53,16/12/2015,10.2,8.6,10,32,52,56,22,160,7.55,33,0.4,80,0.3,3,4.4,0.032
SW54,6/12/2017,1.01,0.27,1.01,4,18,23,11,56,7.09,33,1,80,0.34,7,4.2,0.069
SW54,6/12/2017,2,0.92,2,8,30,47,42,130,7.09,33,1,80,0.34,7,4.2,0.069
SW54,6/12/2017,4.3,3.2,4.3,35,75,94,46,250,7.09,33,1,80,0.34,7,4.2,0.069
SW54,6/12/2017,6.3,4.8,6.3,67,92,100,38,300,7.09,33,1,80,0.34,7,4.2,0.069
SW54,6/12/2017,10.4,8.6,10.4,120,110,100,35,360,7.09,33,1,80,0.34,7,4.2,0.069
SW55,4/05/2016,1.07,0.34,1.07,1,5,13,21,39,7.55,36,0.9,90,0.3,3,4.4,0.043
SW55,4/05/2016,2.3,1.01,2.3,1,11,32,42,85,7.55,36,0.9,90,0.3,3,4.4,0.043
SW55,4/05/2016,4.2,3.1,4.3,9,36,69,47,160,7.55,36,0.9,90,0.3,3,4.4,0.043
SW55,4/05/2016,6.3,5.1,6.2,19,51,74,36,180,7.55,36,0.9,90,0.3,3,4.4,0.043
SW55,4/05/2016,11.2,9,11.4,30,62,75,31,200,7.55,36,0.9,90,0.3,3,4.4,0.043
SW56,23/04/2013,1.1,0.9,1.1,14,40,71,43,168,7.23,41,0.2,75,0.07,1,1.9,0.021
SW56,23/04/2013,2.1,2,2.1,28,51,69,34,182,7.23,41,0.2,75,0.07,1,1.9,0.021
SW56,23/04/2013,4.3,4,4.3,37,53,64,33,187,7.23,41,0.2,75,0.07,1,1.9,0.021
SW56,23/04/2013,6.3,6.1,6.3,46,66,76,36,224,7.23,41,0.2,75,0.07,1,1.9,0.021
SW56,23/04/2013,11,10.4,11,68,71,68,33,240,7.23,41,0.2,75,0.07,1,1.9,0.021
SW57,28/01/2014,0.9,0.6,0.9,1,3,13,46,62,7.33,40,0.6,80,0.26,2,2.4,0.018
SW57,28/01/2014,2,1.5,2,3,11,42,65,121,7.33,40,0.6,80,0.26,2,2.4,0.018
SW57,28/01/2014,3.9,3.8,3.9,11,35,67,45,158,7.33,40,0.6,80,0.26,2,2.4,0.018
SW57,28/01/2014,5.9,5.9,5.9,13,44,67,50,174,7.33,40,0.6,80,0.26,2,2.4,0.018
SW57,28/01/2014,9.6,9.6,9.6,29,63,71,35,198,7.33,40,0.6,80,0.26,2,2.4,0.018
